id,rating,title,content,author,date,helpful_votes,verified_purchase
r016,2,한쪽만 소리 안 나요,3개월 쓰다가 왼쪽 이어폰에서 소리가 안 나기 시작했어요. AS 받으러 가야 할 것 같아요. 초기 불량인지 모르겠네요.,불량품,2023-12-31,94,true
r017,5,비행기에서 필수템,장거리 비행할 때 노캔 덕분에 엔진 소리 없이 영화 볼 수 있어요. 기내 엔터테인먼트보다 훨씬 좋습니다.,여행러,2023-12-30,73,true
r018,4,충전 속도가 빨라요,10분 충전으로 1시간 사용 가능한 게 진짜 편해요. 급하게 나갈 때 잠깐 충전해도 충분합니다.,급한러,2023-12-29,47,true
r019,3,귀가 아파요,2시간 이상 착용하면 귀가 좀 아파요. 이어팁을 폼팁으로 바꾸니까 좀 나아졌어요. 장시간 사용하시는 분은 참고하세요.,귀아픈이,2023-12-28,83,true
r020,5,게임할 때 딜레이 없음,저지연 모드 켜면 게임할 때 딜레이가 거의 없어요. FPS 게임할 때도 총소리 싱크 맞아서 좋습니다.,게이머,2023-12-27,66,true
r021,4,화이트 색상 예뻐요,화이트 컬러 샀는데 정말 깔끔하고 예뻐요. 다만 때가 잘 타서 자주 닦아줘야 해요.,클린러,2023-12-26,31,true
r022,5,클래식 감상용으로 좋아요,오케스트라 음악 들을 때 각 악기 소리가 선명하게 구분돼요. 해상도가 높아서 클래식 감상하기 좋습니다.,클래식매니아,2023-12-25,54,true
r023,1,기대 이하입니다,광고에서 본 것만큼 노캔이 좋지 않아요. 비슷한 가격대 다른 제품이 더 나은 것 같습니다. 실망이에요.,실망,2023-12-24,127,true
r024,5,통근버스에서 꿀템,출퇴근 버스에서 매일 쓰는데 주변 소음 차단이 확실해요. 음악에 집중할 수 있어서 좋습니다.,버스러버,2023-12-23,42,true
r025,4,멀티포인트 연결 편해요,노트북이랑 폰 동시 연결해서 쓰는데 전환이 매끄러워요. 재택근무할 때 특히 유용합니다.,재택러,2023-12-22,58,true
r026,5,팟캐스트 듣기 좋아요,음성 콘텐츠 들을 때 목소리가 선명하게 들려요. 팟캐스트나 오디오북 자주 듣는 분께 추천합니다.,팟캐러,2023-12-21,36,true
r027,3,바람 소리가 들어와요,외부에서 쓸 때 바람 소리가 마이크로 많이 들어와요. 통화할 때 상대방이 바람 소리 때문에 힘들어해요.,바람싫어,2023-12-20,71,true
r028,5,디자인이 세련됐어요,미니멀한 디자인이 마음에 들어요. 케이스도 작아서 주머니에 쏙 들어가고요. 소유욕 자극합니다.,디자인러,2023-12-19,49,true
r029,4,무게가 가벼워요,이어폰 하나가 5g밖에 안 돼서 착용감이 가볍습니다. 장시간 써도 귀에 부담이 없어요.,가벼운게좋아,2023-12-18,33,true
r030,5,유튜브 보기 좋아요,영상이랑 싱크 완벽하게 맞아요. 유튜브나 넷플릭스 볼 때 불편함 없습니다.,영상러버,2023-12-17,57,true
r031,2,이퀄라이저 설정이 저장 안 돼요,앱에서 이퀄라이저 설정해도 다음에 연결하면 초기화돼요. 매번 다시 설정해야 해서 불편합니다.,이퀄라이저,2023-12-16,88,true
r032,5,헬스장에서 잘 써요,운동할 때 땀 흘려도 문제없고 격한 동작에도 안 빠져요. 운동 음악 들으면서 하니까 운동이 재밌어졌어요.,헬스마니아,2023-12-15,64,true
r033,4,음성 안내가 친절해요,배터리 잔량이나 연결 상태를 음성으로 알려줘서 편해요. 한국어 지원도 잘 됩니다.,친절매니아,2023-12-14,27,true
r034,5,공부할 때 집중 잘 돼요,노캔 켜고 백색소음 틀면 도서관보다 집중 잘 돼요. 수험생한테 강추합니다.,수험생,2023-12-13,96,true
r035,3,케이스 힌지가 약해 보여요,케이스 여닫을 때 힌지 부분이 약해 보여요. 오래 쓰면 고장날 것 같은 불안함이 있네요.,걱정이,2023-12-12,45,true
r036,5,와이프도 샀어요,제가 먼저 사서 쓰다가 와이프도 같은 거 샀어요. 부부가 같이 쓰니까 좋네요.,부부이어폰,2023-12-11,38,true
r037,4,외부 소리 모드 유용해요,외부 소리 듣기 모드가 있어서 이어폰 끼고도 대화할 수 있어요. 편의점 갈 때 유용합니다.,편의점러,2023-12-10,51,true
r038,5,잠잘 때도 편해요,옆으로 누워도 귀 안 아프고 편해요. 수면용 이어폰으로도 쓸 수 있을 것 같아요.,수면러,2023-12-09,69,true
r039,2,왼쪽 오른쪽 음량 차이,왼쪽이 오른쪽보다 소리가 조금 작아요. 불량인지 원래 그런 건지 모르겠네요. AS 문의 중입니다.,음량차이,2023-12-08,102,true
r040,5,전화 많이 받는 분께 추천,업무상 전화가 많은데 착용감 좋고 통화품질 괜찮아서 만족합니다. 장시간 통화해도 귀 안 아파요.,영업맨,2023-12-07,43,true
r041,4,무선 충전 지원 좋아요,무선 충전 패드에 올려놓기만 하면 돼서 편해요. 선 꽂는 번거로움이 없어졌습니다.,무선충전러,2023-12-06,35,true
r042,5,자전거 탈 때 좋아요,외부 소리 모드로 자전거 타면서 음악 들어요. 주변 소리도 들리고 음악도 들려서 안전해요.,자전거러,2023-12-05,77,true
r043,3,앱 연동 오류가 있어요,가끔 앱이랑 이어폰 연동이 안 될 때가 있어요. 앱 재시작하면 되긴 하는데 좀 불편해요.,앱오류,2023-12-04,59,true
r044,5,카페에서 작업할 때 필수,카페 소음 차단하고 집중해서 작업할 수 있어요. 프리랜서에게 강력 추천합니다.,프리랜서,2023-12-03,84,true
r045,4,색상 옵션이 다양했으면,블랙이랑 화이트밖에 없어서 아쉬워요. 파스텔 색상이나 다른 컬러도 출시해주세요.,컬러매니아,2023-12-02,26,true
r046,5,명절 귀성길 필수템,KTX 타고 내려갈 때 노캔으로 조용하게 영화 봤어요. 귀성길이 즐거워졌습니다.,귀성러,2023-12-01,62,true
r047,2,귀에 잘 안 맞아요,이어팁을 다 바꿔봤는데 제 귀에는 안 맞네요. 개인차가 있는 것 같아요. 가능하면 매장에서 착용해보세요.,귀안맞음,2023-11-30,91,true
r048,5,음질이 가격 대비 훌륭해요,2배 가격 이어폰이랑 비교해도 음질 차이 크게 안 나요. 가성비 따지면 이게 최고인 것 같습니다.,가성비매니아,2023-11-29,108,true
r049,4,펌웨어 업데이트가 잦아요,한 달에 한 번씩 펌웨어 업데이트가 있어요. 기능 개선은 좋은데 업데이트가 좀 오래 걸려요.,업데이트,2023-11-28,37,true
r050,5,조용한 사무실에서 좋아요,사무실이 조용해서 키보드 소리도 신경 쓰였는데 노캔 덕분에 집중할 수 있어요.,사무직,2023-11-27,55,true
r051,3,통화할 때 에코가 들려요,통화할 때 가끔 제 목소리가 에코처럼 들린다고 해요. 상대방이 불편해하네요.,에코,2023-11-26,74,true
r052,5,등산할 때도 괜찮아요,등산하면서 음악 듣는데 땀에도 강하고 잘 빠지지 않아요. 외부 소리 모드로 안전하게 들어요.,등산러,2023-11-25,46,true
r053,4,전용 케이스 별매가 아쉬워요,케이스 보호 커버가 별매라서 추가 비용이 들어요. 기본 제공이면 좋겠어요.,케이스매니아,2023-11-24,32,true
r054,5,영어 공부할 때 좋아요,영어 팟캐스트 들을 때 발음이 선명하게 들려요. 리스닝 공부에 도움 됩니다.,영어공부,2023-11-23,68,true
r055,1,일주일 만에 고장났어요,사자마자 일주일 만에 충전이 안 돼요. 교환 요청했는데 시간이 너무 오래 걸리네요.,고장,2023-11-22,143,true
r056,5,낮잠 잘 때 좋아요,회사에서 점심시간에 낮잠 잘 때 노캔 켜면 주변 소리 안 들려서 푹 잘 수 있어요.,낮잠러,2023-11-21,53,true
r057,4,안경 쓰는 분도 편해요,안경 쓰는데 귀 부분이 안 눌려서 편해요. 안경테랑 안 겹쳐서 좋습니다.,안경러,2023-11-20,44,true
r058,5,요가할 때 사용해요,요가할 때 명상 음악 들으면서 해요. 가볍고 안 빠져서 동작해도 괜찮아요.,요가러,2023-11-19,39,true
r059,3,iOS랑 궁합이 아쉬워요,아이폰이랑 연결하면 가끔 끊김이 있어요. 안드로이드에서는 문제없다고 하던데 아이폰 유저는 참고하세요.,아이폰유저,2023-11-18,87,true
r060,5,재구매 의사 있어요,1년 넘게 잘 쓰고 있어서 고장나면 같은 거 또 살 거예요. 만족스럽습니다.,재구매,2023-11-17,71,true
r061,4,터치 반응이 좋아요,터치 반응이 빨라서 조작하기 편해요. 재생 멈춤 볼륨 조절 다 손쉽게 됩니다.,터치매니아,2023-11-16,29,true
r062,5,비행기 소음 차단 짱,비행기 엔진 소음이 거의 안 들려요. 장거리 여행 필수템으로 자리잡았어요.,비행기매니아,2023-11-15,82,true
r063,2,땀에 약한 것 같아요,운동하고 나면 이어팁이 미끄러워져요. 땀에 강하다고 했는데 생각보다 그렇지 않네요.,땀많은이,2023-11-14,76,true
r064,5,선물 받았는데 최고,생일 선물로 받았는데 너무 좋아요. 매일 쓰고 있습니다. 준 사람한테 고마워요.,선물받음,2023-11-13,48,true
r065,4,케이스 LED가 예뻐요,충전 상태 표시하는 LED가 은은하고 예뻐요. 디테일이 좋습니다.,LED매니아,2023-11-12,25,true
r066,5,드라마 정주행 할 때 좋아요,밤에 드라마 볼 때 다른 사람 방해 안 하고 볼 수 있어요. 대사가 선명하게 들려요.,드라마러버,2023-11-11,63,true
r067,3,이어팁 사이즈 선택이 어려워요,동봉된 이어팁 중에 딱 맞는 게 없어요. 별도로 폼팁 사야 할 것 같아요.,이어팁고민,2023-11-10,58,true
r068,5,회의할 때 유용해요,화상 회의할 때 주변 소음 차단되고 목소리도 잘 전달돼요. 재택근무자 필수템이에요.,회의러,2023-11-09,70,true
r069,4,배터리 표시가 정확해요,앱에서 배터리 퍼센트가 정확하게 표시돼서 좋아요. 충전 타이밍 맞추기 편해요.,배터리확인,2023-11-08,31,true
r070,5,독서실에서 꿀템,독서실 에어컨 소리가 시끄러웠는데 노캔으로 완전 차단돼요. 공부 집중도가 올라갔어요.,독서실러,2023-11-07,89,true
r071,2,왼쪽이 자꾸 빠져요,오른쪽은 괜찮은데 왼쪽만 자꾸 빠져요. 귀 모양 때문인지 이어폰 문제인지 모르겠어요.,빠짐,2023-11-06,95,true
r072,5,음악 작업할 때 모니터링용으로 OK,음악 작업할 때 간단한 모니터링용으로 쓰기 좋아요. 전문 헤드폰 대용으로 충분해요.,음악작업,2023-11-05,42,true
r073,4,블랙 프라이데이에 득템,할인할 때 샀는데 정가 대비 훨씬 저렴하게 샀어요. 이 가격에 이 성능이면 대만족이에요.,할인러,2023-11-04,56,true
r074,5,산책할 때 좋아요,외부 소리 모드로 산책하면서 음악 들어요. 차 소리도 들리고 안전해요.,산책러,2023-11-03,37,true
r075,3,페어링이 가끔 느려요,처음 켜고 페어링될 때까지 시간이 좀 걸려요. 급할 때 답답합니다.,페어링느림,2023-11-02,64,true
r076,5,배터리 신경 안 써도 돼요,배터리 걱정 없이 하루 종일 써요. 퇴근할 때까지 충분히 가요.,배터리걱정없음,2023-11-01,51,true
r077,4,앱 튜토리얼이 잘 돼있어요,처음 쓰는 사람도 앱 따라하면 설정 쉽게 할 수 있어요. 사용자 친화적입니다.,앱친절,2023-10-31,28,true
r078,5,조깅하면서 들어요,아침 조깅할 때 항상 착용해요. 뛰어도 안 빠지고 땀에도 강해서 운동 파트너예요.,조깅러,2023-10-30,73,true
r079,2,고음에서 찢어지는 소리,볼륨 높이면 고음에서 찢어지는 느낌이 있어요. 음량 70% 이하로 들어야 해요.,고음문제,2023-10-29,81,true
r080,5,강의 들을 때 좋아요,온라인 강의 들을 때 교수님 목소리가 선명하게 들려요. 학생들한테 추천합니다.,학생,2023-10-28,66,true
r081,4,분실 방지 기능 좋아요,앱에서 마지막 위치 확인 가능해서 좋아요. 한 번 잃어버릴 뻔했는데 찾았어요.,분실방지,2023-10-27,47,true
r082,5,남편이 부러워해요,제가 먼저 샀더니 남편이 부러워해서 하나 더 샀어요. 가족 모두 만족 중입니다.,가족이어폰,2023-10-26,54,true
r083,3,기본 이어팁이 별로예요,동봉된 이어팁이 품질이 좀 떨어져요. 컴플라이 폼팁으로 바꾸니까 훨씬 나아졌어요.,이어팁교체,2023-10-25,69,true
r084,5,버스에서 영화 봐요,출퇴근 버스에서 노캔 켜고 영화 보는 게 낙이에요. 몰입감 최고입니다.,버스영화,2023-10-24,45,true
r085,4,앱 디자인이 깔끔해요,전용 앱 UI가 깔끔하고 직관적이에요. 설정 바꾸기 편합니다.,앱UI좋음,2023-10-23,33,true
r086,5,명상할 때 쓰기 좋아요,명상 앱 틀어놓고 노캔 켜면 완전 다른 세계예요. 마음이 평화로워져요.,명상러,2023-10-22,59,true
r087,2,왼쪽 버튼이 안 눌려요,왼쪽 터치가 잘 안 먹어요. 오른쪽은 잘 되는데 왼쪽만 문제가 있어요. AS 갈 예정입니다.,버튼고장,2023-10-21,97,true
r088,5,피트니스 필수템,피트니스 다닐 때 없으면 안 되는 템이에요. 운동할 맛이 납니다.,피트니스,2023-10-20,61,true
r089,4,충전 케이블이 짧아요,동봉된 충전 케이블이 좀 짧아요. 긴 케이블로 바꿔서 쓰고 있어요. 이것만 아쉬워요.,케이블짧음,2023-10-19,35,true
r090,5,지하철 소음 완벽 차단,지하철 소음이 정말 시끄러운데 노캔으로 거의 다 차단돼요. 출퇴근이 쾌적해졌어요.,지하철러,2023-10-18,83,true
r091,3,통화 품질 개선 바람,음악 음질은 좋은데 통화 품질이 아쉬워요. 다음 버전에서는 마이크 개선 부탁드려요.,통화품질,2023-10-17,72,true
r092,5,휴대성이 좋아요,케이스가 작아서 어디든 들고 다니기 편해요. 주머니에 쏙 들어가요.,휴대성,2023-10-16,40,true
r093,4,자동 일시정지 편해요,이어폰 빼면 자동으로 음악 멈추는 기능이 유용해요. 다시 끼면 재생되고요.,자동멈춤,2023-10-15,52,true
r094,5,콜센터 근무자 추천,콜센터에서 일하는데 하루 종일 써도 귀 안 아프고 통화 잘 돼요. 업무용으로 최고예요.,콜센터,2023-10-14,78,true
r095,2,노캔 효과 보통이에요,기대만큼 노이즈 캔슬링이 강하지 않아요. 다른 브랜드가 더 나은 것 같아요.,노캔실망,2023-10-13,105,true
r096,5,코딩할 때 집중 잘 돼요,개발할 때 노캔 켜고 집중하면 생산성이 올라가요. 개발자분들 추천합니다.,개발자,2023-10-12,67,true
r097,4,자동차에서도 잘 써요,차에서 핸즈프리로 통화할 때 괜찮아요. 블루투스 연결도 빠르고 안정적이에요.,운전자,2023-10-11,43,true
r098,5,수면 ASMR 최적,수면 ASMR 들으면서 자는데 소리가 섬세하게 들려요. 잠들기 전 필수템이에요.,수면ASMR,2023-10-10,56,true
r099,3,가격이 좀 있어요,성능은 좋은데 가격이 부담스러워요. 할인할 때 사시는 걸 추천합니다.,가격부담,2023-10-09,85,true
r100,5,1년 사용 후기,1년 넘게 매일 쓰고 있는데 아직도 새것처럼 잘 작동해요. 내구성 좋습니다. 재구매 의사 100%!,1년후기,2023-10-08,124,true
